URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
blackassign0001,https://insights.blackcoffer.com/rising-it-cities-and-its-impact-on-the-economy-environment-infrastructure-and-city-life-by-the-year-2040-2/,33.0,5,0.7368420858725767,0.060702875302391573,15.0,11.330049261083744,10.532019704433498,15.0,138.0,626.0,1.4671592775041051,11.0,4.574712643678161
blackassign0002,https://insights.blackcoffer.com/rising-it-cities-and-their-impact-on-the-economy-environment-infrastructure-and-city-life-in-future/,56.0,31,0.2873563185361343,0.1062271060974028,18.0,20.684931506849317,15.473972602739728,18.0,302.0,819.0,1.7410958904109588,4.0,5.367808219178082
blackassign0003,https://insights.blackcoffer.com/internet-demands-evolution-communication-impact-and-2035s-alternative-pathways/,37.0,23,0.23333332944444451,0.09216589847593563,18.0,26.54614652711703,17.818458610846815,18.0,279.0,651.0,1.9077069457659372,13.0,6.034253092293055
blackassign0004,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-in-upcoming-future/,34.0,71,-0.3523809490249433,0.16561514169461333,20.0,24.714828897338403,17.885931558935365,20.0,260.0,634.0,1.826996197718631,5.0,5.914448669201521
blackassign0005,https://insights.blackcoffer.com/ott-platform-and-its-impact-on-the-entertainment-industry-in-future/,21.0,8,0.4482758466111777,0.08146067392848125,17.0,18.236173393124066,14.094469357249626,17.0,122.0,356.0,1.648729446935725,6.0,5.4050822122571
blackassign0006,https://insights.blackcoffer.com/the-rise-of-the-ott-platform-and-its-impact-on-the-entertainment-industry-by-2040/,83.0,23,0.566037730509078,0.09715857003010213,20.0,24.903581267217632,17.961432506887054,20.0,452.0,1091.0,1.8451790633608816,6.0,5.8969696969696965
blackassign0007,https://insights.blackcoffer.com/rise-of-cyber-crime-and-its-effects/,30.0,60,-0.3333333296296297,0.12396694197800696,16.0,18.21011673151751,13.684046692607005,16.0,234.0,726.0,1.6575875486381324,1.0,5.207782101167315
blackassign0008,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035-2/,26.0,9,0.4857142718367351,0.07157464198041996,15.0,29.027962716378163,17.611185086551266,15.0,218.0,489.0,1.9733688415446071,3.0,6.210386151797604
blackassign0009,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040-2/,35.0,49,-0.1666666646825397,0.13548387074921955,16.0,29.059829059829063,18.023931623931627,16.0,272.0,620.0,1.9668803418803418,3.0,6.253205128205129
blackassign0010,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040/,135.0,173,-0.12337662297604993,0.1599999999168831,15.0,19.516172873063333,13.806469149225334,15.0,718.0,1925.0,1.6770861647186734,13.0,5.330252786083175
blackassign0011,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035/,60.0,19,0.518987335202692,0.09393579061363164,21.0,21.956368754398312,17.182547501759327,21.0,312.0,841.0,1.793103448275862,3.0,5.753694581280788
blackassign0012,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/,76.0,24,0.5199999948,0.11025358311989682,20.0,16.58624849215923,14.634499396863692,20.0,275.0,907.0,1.5838359469240049,2.0,5.542219541616405
blackassign0013,https://insights.blackcoffer.com/rise-of-e-health-and-its-impact-on-humans-by-the-year-2030/,38.0,13,0.49019606881968497,0.17171717113899942,23.0,22.537562604340565,18.215025041736226,23.0,135.0,297.0,1.691151919866444,3.0,5.414023372287145
blackassign0014,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030-2/,19.0,27,-0.17391303969754263,0.08027923197158947,15.0,19.07020872865275,13.628083491461101,15.0,201.0,573.0,1.6527514231499052,3.0,5.195445920303605
blackassign0015,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2/,33.0,27,0.09999999833333337,0.08955223867231009,20.0,20.6782464846981,16.27129859387924,20.0,250.0,670.0,1.6815550041356493,7.0,5.408602150537634
blackassign0016,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2-2/,33.0,27,0.09999999833333337,0.08955223867231009,20.0,20.6782464846981,16.27129859387924,20.0,250.0,670.0,1.6815550041356493,7.0,5.408602150537634
blackassign0017,https://insights.blackcoffer.com/rise-of-chatbots-and-its-impact-on-customer-support-by-the-year-2040/,45.0,10,0.6363636247933887,0.08634222906382695,17.0,21.254355400696863,15.301742160278748,17.0,244.0,637.0,1.7168989547038327,3.0,5.446864111498257
blackassign0018,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030/,32.0,10,0.5238095113378688,0.07460035510728179,22.0,21.666666666666668,17.46666666666667,22.0,221.0,563.0,1.703921568627451,1.0,5.435294117647059
blackassign0019,https://insights.blackcoffer.com/how-does-marketing-influence-businesses-and-consumers/,56.0,6,0.806451599895942,0.0682068206070332,18.0,21.341816078658184,15.736726431463275,18.0,369.0,909.0,1.6743782533256217,5.0,5.231347599768652
blackassign0020,https://insights.blackcoffer.com/how-advertisement-increase-your-market-value/,8.0,0,0.9999998750000157,0.0349344976640415,20.0,13.754646840148698,13.501858736059479,20.0,74.0,229.0,1.5408921933085502,1.0,4.9646840148698885
blackassign0021,https://insights.blackcoffer.com/negative-effects-of-marketing-on-society/,20.0,44,-0.3749999941406251,0.11743119244508038,20.0,22.704837117472852,17.08193484698914,20.0,230.0,545.0,1.7453109575518262,6.0,5.508390918065153
